Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 10 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 103.0 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 106.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 109.2 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 112.4 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 112.4,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 115.6 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 115.6,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,Imagine someone did you a favor that cost them 5 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,10 EUR,Reciprocation 5,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,Imagine someone did you a favor that cost them 10 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 10,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,Imagine someone did you a favor that cost them 15 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 15,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 20,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,Imagine someone did you a favor that cost them 25 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,25,Reciprocation 25,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,Imagine someone did you a favor that cost them 30 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 30,46,female,France
766abe7e-910e-4856-96e3-5cdc1ee98344,c3b09e89b39bcec722397eed879bf87ecbea06d3e3bd95900f795c8e621fb8c8,You unexpectedly received 999.9999999999999 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,5000000000000000,Donation 999.9999999999999,46,female,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 10 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 20 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 20,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 30 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 30,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 40 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 40,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 50 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 50,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 103.0 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 106.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 109.2 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,46,male,France
912e4131-1f05-461f-ad60-c69c4a2355f3,1bbefd10ffc83dddf66746983e80f8b801c1844bee75214a3682518c00ed92cc,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 112.4 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 112.4,46,male,France
