Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks at a 6.,Willingness to take risk,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 5 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 5,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 10 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 15 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 15,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 20 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 20,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 25 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 25,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 30 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 30,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 35 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 35,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 40 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 40,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 45 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 45,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 103.0 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 106.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 109.2 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 112.4 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 112.4,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,Imagine someone did you a favor that cost them 4 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,8,Reciprocation 4,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,Imagine someone did you a favor that cost them 8 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,10 EUR,Reciprocation 8,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,Imagine someone did you a favor that cost them 12 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 12,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,Imagine someone did you a favor that cost them 16 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,20 EUR,Reciprocation 16,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,Imagine someone did you a favor that cost them 16 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,16,Reciprocation 16,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 20,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,Imagine someone did you a favor that cost them 24 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,24,Reciprocation 24,42,female,Italy
578080eb-ef6b-46de-a01b-52eeabd71477,77b7f0340221fdac8495fdd158af176dd1aadd52e751ed4919877be131d94d7e,You unexpectedly received 700.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,100.0,Donation 700.0,42,female,Italy
d0d91a4d-d240-4494-807d-050e69733e02,00da86e1167868848e20ab96c5df1e2be779a363e730a827ced995c5ebfd663e,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,32,female,Italy
d0d91a4d-d240-4494-807d-050e69733e02,00da86e1167868848e20ab96c5df1e2be779a363e730a827ced995c5ebfd663e,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,32,female,Italy
d0d91a4d-d240-4494-807d-050e69733e02,00da86e1167868848e20ab96c5df1e2be779a363e730a827ced995c5ebfd663e,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,32,female,Italy
d0d91a4d-d240-4494-807d-050e69733e02,00da86e1167868848e20ab96c5df1e2be779a363e730a827ced995c5ebfd663e,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,32,female,Italy
d0d91a4d-d240-4494-807d-050e69733e02,00da86e1167868848e20ab96c5df1e2be779a363e730a827ced995c5ebfd663e,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,32,female,Italy
d0d91a4d-d240-4494-807d-050e69733e02,00da86e1167868848e20ab96c5df1e2be779a363e730a827ced995c5ebfd663e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,32,female,Italy
d0d91a4d-d240-4494-807d-050e69733e02,00da86e1167868848e20ab96c5df1e2be779a363e730a827ced995c5ebfd663e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,32,female,Italy
d0d91a4d-d240-4494-807d-050e69733e02,00da86e1167868848e20ab96c5df1e2be779a363e730a827ced995c5ebfd663e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,32,female,Italy
d0d91a4d-d240-4494-807d-050e69733e02,00da86e1167868848e20ab96c5df1e2be779a363e730a827ced995c5ebfd663e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,32,female,Italy
